priority,plant_id,source,query,record_id,food_description,preparation,basis,source_url,decision,reviewer_note
1,dandelion,K-FIND,민들레 생것,,,,,,pending,
1,dandelion,K-FIND,민들레 잎 생것,,,,,,pending,
1,dandelion,USDA FDC,dandelion greens raw,,,,,,pending,
2,plantain,K-FIND,질경이 생것,,,,,,pending,
2,plantain,K-FIND,질경이 잎 생것,,,,,,pending,
2,plantain,USDA FDC,Plantago raw,,,,,,pending,
3,chicory,K-FIND,치커리 생것,,,,,,pending,
3,chicory,K-FIND,치커리 잎 생것,,,,,,pending,
3,chicory,USDA FDC,chicory greens raw,,,,,,pending,
4,endive,K-FIND,엔다이브 생것,,,,,,pending,
4,endive,USDA FDC,endive raw,,,,,,pending,
5,romaine,K-FIND,로메인 상추 생것,,,,,,pending,
5,romaine,USDA FDC,lettuce cos or romaine raw,,,,,,pending,
6,kale,K-FIND,케일 생것,,,,,,pending,
6,kale,USDA FDC,kale raw,,,,,,pending,
7,napa,K-FIND,배추 생것,,,,,,pending,
7,napa,USDA FDC,cabbage napa leaf raw,,,,,,pending,
8,cabbage,K-FIND,양배추 생것,,,,,,pending,
8,cabbage,USDA FDC,cabbage raw,,,,,,pending,
9,spinach,K-FIND,시금치 생것,,,,,,pending,
9,spinach,USDA FDC,spinach raw,,,,,,pending,
10,watercress,K-FIND,물냉이 생것,,,,,,pending,
10,watercress,K-FIND,워터크레스 생것,,,,,,pending,
10,watercress,USDA FDC,watercress raw,,,,,,pending,
