plant_id,ko_name,scientific_name,family,identity_status,nutrition_korea_status,nutrition_usda_status,toxicity_status,species_evidence_status,final_review_status,notes
chicory,치커리,Cichorium intybus,Asteraceae,verified_name,pending,pending,pending,pending,pending,
romaine,로메인,Lactuca sativa var. longifolia,Asteraceae,verified_name,pending,pending,pending,pending,pending,
lettuce,상추,Lactuca sativa,Asteraceae,verified_name,pending,pending,pending,pending,pending,
radicchio,라디키오,Cichorium intybus var. foliosum,Asteraceae,verified_name,pending,pending,pending,pending,pending,
endive,엔다이브,Cichorium endivia,Asteraceae,verified_name,pending,pending,pending,pending,pending,
dandelion,민들레,Taraxacum spp.,Asteraceae,verified_name,pending,pending,pending,pending,pending,
sowthistle,방가지똥,Sonchus spp.,Asteraceae,verified_name,pending,pending,pending,pending,pending,
kale,케일,Brassica oleracea var. sabellica,Brassicaceae,verified_name,pending,pending,pending,pending,pending,
bokchoy,청경채,Brassica rapa subsp. chinensis,Brassicaceae,verified_name,pending,pending,pending,pending,pending,
mustard,갓,Brassica juncea,Brassicaceae,verified_name,pending,pending,pending,pending,pending,
turnipgreens,순무잎,Brassica rapa subsp. rapa,Brassicaceae,verified_name,pending,pending,pending,pending,pending,
collard,콜라드그린,Brassica oleracea var. viridis,Brassicaceae,verified_name,pending,pending,pending,pending,pending,
cabbage,양배추,Brassica oleracea var. capitata,Brassicaceae,verified_name,pending,pending,pending,pending,pending,
napa,배추,Brassica rapa subsp. pekinensis,Brassicaceae,verified_name,pending,pending,pending,pending,pending,
radishgreens,무잎,Raphanus sativus,Brassicaceae,verified_name,pending,pending,pending,pending,pending,
broccolileaf,브로콜리잎,Brassica oleracea var. italica,Brassicaceae,verified_name,pending,pending,pending,pending,pending,
cauliflowerleaf,콜리플라워잎,Brassica oleracea var. botrytis,Brassicaceae,verified_name,pending,pending,pending,pending,pending,
arugula,루꼴라,Eruca vesicaria,Brassicaceae,verified_name,pending,pending,pending,pending,pending,
plantain,질경이,Plantago spp.,Plantaginaceae,verified_name,pending,pending,pending,pending,pending,
mulberry,뽕잎,Morus spp.,Moraceae,verified_name,pending,pending,pending,pending,pending,
figleaf,무화과잎,Ficus carica,Moraceae,verified_name,pending,pending,pending,pending,pending,
mallow,아욱,Malva spp.,Malvaceae,needs_species_level_mapping,pending,pending,pending,pending,pending,
hibiscusleaf,무궁화잎,Hibiscus syriacus,Malvaceae,verified_name,pending,pending,pending,pending,pending,
hibiscusflower,무궁화꽃,Hibiscus syriacus,Malvaceae,verified_name,pending,pending,pending,pending,pending,
spinach,시금치,Spinacia oleracea,Amaranthaceae,verified_name,pending,pending,pending,pending,pending,
beetgreens,비트잎,Beta vulgaris,Amaranthaceae,verified_name,pending,pending,pending,pending,pending,
watercress,물냉이,Nasturtium officinale,Brassicaceae,verified_name,pending,pending,pending,pending,pending,
parsley,파슬리,Petroselinum crispum,Apiaceae,verified_name,pending,pending,pending,pending,pending,
cilantro,고수,Coriandrum sativum,Apiaceae,verified_name,pending,pending,pending,pending,pending,
celeryleaf,셀러리잎,Apium graveolens,Apiaceae,verified_name,pending,pending,pending,pending,pending,
carrottop,당근잎,Daucus carota subsp. sativus,Apiaceae,verified_name,pending,pending,pending,pending,pending,
basil,바질,Ocimum basilicum,Lamiaceae,verified_name,pending,pending,pending,pending,pending,
mint,민트,Mentha spp.,Lamiaceae,verified_name,pending,pending,pending,pending,pending,
perilla,깻잎,Perilla frutescens,Lamiaceae,verified_name,pending,pending,pending,pending,pending,
clover,클로버,Trifolium spp.,Fabaceae,verified_name,pending,pending,pending,pending,pending,
alfalfa,알팔파,Medicago sativa,Fabaceae,verified_name,pending,pending,pending,pending,pending,
chickweed,별꽃,Stellaria media,Caryophyllaceae,verified_name,pending,pending,pending,pending,pending,
sweetpotatoleaf,고구마잎,Ipomoea batatas,Convolvulaceae,verified_name,pending,pending,pending,pending,pending,
pumpkinleaf,호박잎,Cucurbita spp.,Cucurbitaceae,verified_name,pending,pending,pending,pending,pending,
zucchini,애호박,Cucurbita moschata,Cucurbitaceae,verified_name,pending,pending,pending,pending,pending,
cucumber,오이,Cucumis sativus,Cucurbitaceae,verified_name,pending,pending,pending,pending,pending,
bellpepper,파프리카,Capsicum annuum,Solanaceae,verified_name,pending,pending,pending,pending,pending,
tomato,토마토,Solanum lycopersicum,Solanaceae,verified_name,pending,pending,pending,pending,pending,
grapeleaf,포도잎,Vitis vinifera,Vitaceae,verified_name,pending,pending,pending,pending,pending,
rose,장미꽃,Rosa spp.,Rosaceae,verified_name,pending,pending,pending,pending,pending,
nasturtium,한련화,Tropaeolum majus,Tropaeolaceae,verified_name,pending,pending,pending,pending,pending,
pricklypear,천년초,Opuntia spp.,Cactaceae,verified_name,pending,pending,pending,pending,pending,
timothy,티모시,Phleum pratense,Poaceae,verified_name,pending,pending,pending,pending,pending,
orchard,오차드그라스,Dactylis glomerata,Poaceae,verified_name,pending,pending,pending,pending,pending,
ryegrass,라이그라스,Lolium spp.,Poaceae,verified_name,pending,pending,pending,pending,pending,
wheatgrass,밀싹,Triticum aestivum,Poaceae,verified_name,pending,pending,pending,pending,pending,
barleygrass,보리싹,Hordeum vulgare,Poaceae,verified_name,pending,pending,pending,pending,pending,
oatgrass,귀리싹,Avena sativa,Poaceae,verified_name,pending,pending,pending,pending,pending,
cornleaf,옥수수잎,Zea mays,Poaceae,verified_name,pending,pending,pending,pending,pending,
chrysanthemumleaf,쑥갓,Glebionis coronaria,Asteraceae,verified_name,pending,pending,pending,pending,pending,
ssuk,쑥,Artemisia princeps,Asteraceae,verified_name,pending,pending,pending,pending,pending,
dolnamul,돌나물,Sedum sarmentosum,Crassulaceae,verified_name,pending,pending,pending,pending,pending,
minari,미나리,Oenanthe javanica,Apiaceae,verified_name,pending,pending,pending,pending,pending,
aehobakleaf,애호박잎,Cucurbita moschata,Cucurbitaceae,verified_name,pending,pending,pending,pending,pending,
pea_shoot,완두순,Pisum sativum,Fabaceae,verified_name,pending,pending,pending,pending,pending,
sunflowerleaf,해바라기잎,Helianthus annuus,Asteraceae,verified_name,pending,pending,pending,pending,pending,
violet,제비꽃,Viola spp.,Violaceae,verified_name,pending,pending,pending,pending,pending,
geranium,제라늄,Pelargonium spp.,Geraniaceae,verified_name,pending,pending,pending,pending,pending,
pansy,팬지,Viola × wittrockiana,Violaceae,verified_name,pending,pending,pending,pending,pending,
marigold,메리골드,Tagetes spp.,Asteraceae,verified_name,pending,pending,pending,pending,pending,
calendula,금잔화,Calendula officinalis,Asteraceae,verified_name,pending,pending,pending,pending,pending,
