priority,plant_id,ko_name,identity,official_nutrition,toxicity_or_antinutrient,species_husbandry,final_assessment
1,chicory,치커리,verified_name,pending_direct,pending,pending,pending
2,romaine,로메인,verified_name,pending_direct,pending,present,pending
3,kale,케일,verified_name,pending_direct,pending,present,pending
4,endive,엔다이브,verified_name,pending_direct,pending,present,pending
5,radicchio,라디키오,verified_name,pending_direct,pending,pending,pending
6,lettuce,상추,verified_name,pending_direct,pending,pending,pending
7,bokchoy,청경채,verified_name,pending_direct,pending,pending,pending
8,napa,배추,verified_name,pending_direct,pending,pending,pending
9,cabbage,양배추,verified_name,pending_direct,pending,pending,pending
10,arugula,루꼴라,verified_name,pending_direct,pending,pending,pending
11,spinach,시금치,verified_name,pending_direct,pending,pending,pending
12,watercress,물냉이,verified_name,pending_direct,pending,pending,pending
